30 30
7 4 38
7 3 10
7 2 14
7 1 17
7 0 20
8 29 44
8 28 15
8 27 7
8 26 19
8 25 12
8 24 13
8 23 14
8 22 13
8 21 11
8 20 9
8 19 7
8 18 46
8 17 56
8 16 27
8 15 19
8 14 12
8 13 25
8 12 28
8 11 19
8 10 18
8 9 46
8 8 304
8 7 30
8 6 18
8 5 57
8 4 17
8 3 9
8 2 13
8 1 16
8 0 50
9 29 13
9 28 14
9 27 6
9 26 29
9 25 11
9 24 13
9 23 14
9 22 14
9 21 23
9 20 11
9 19 8
9 18 27
9 17 36
9 16 16
9 15 28
9 14 41
9 13 45
9 12 38
9 11 29
9 10 30
9 9 328
9 8 46
9 7 43
9 6 90
9 5 7
9 4 27
9 3 28
9 2 11
9 1 15
9 0 39
10 29 3
10 28 14
10 27 55
10 26 18
10 25 30
10 24 23
10 23 24
10 22 25
10 21 14
10 20 22
10 19 100
10 18 8
10 17 16
10 16 16
10 15 8
10 14 10
10 13 14
10 12 17
10 11 40
10 10 361
10 9 40
10 8 58
10 7 115
10 6 12
10 5 9
10 4 37
10 3 18
10 2 10
10 1 14
10 0 47
11 29 4
11 28 14
11 27 5
11 26 7
11 25 9
11 24 12
11 23 14
11 22 15
11 21 35
11 20 24
11 19 12
11 18 9
11 17 37
11 16 26
11 15 7
11 14 9
11 13 13
11 12 36
11 11 389
11 10 81
11 9 42
11 8 140
11 7 17
11 6 34
11 5 21
11 4 8
11 3 38
11 2 9
11 1 12
11 0 45
12 29 4
12 28 24
12 27 4
12 26 6
12 25 8
12 24 11
12 23 34
12 22 45
12 21 16
12 20 15
12 19 13
12 18 11
12 17 8
12 16 37
12 15 37
12 14 8
12 13 11
12 12 415
12 11 109
12 10 32
12 9 173
12 8 42
12 7 30
12 6 27
12 5 23
12 4 60
12 3 18
12 2 8
12 1 10
12 0 33
13 29 5
13 28 4
13 27 4
13 26 15
13 25 7
13 24 60
13 23 13
13 22 35
13 21 26
13 20 16
13 19 15
13 18 12
13 17 50
13 16 58
13 15 37
13 14 47
13 13 440
13 12 124
13 11 38
13 10 41
13 9 54
13 8 64
13 7 42
13 6 29
13 5 15
13 4 52
13 3 29
13 2 8
13 1 9
13 0 41
14 29 6
14 28 4
14 27 34
14 26 14
14 25 86
14 24 9
14 23 12
14 22 45
14 21 36
14 20 27
14 19 16
14 18 84
14 17 42
14 16 19
14 15 37
14 14 37
14 13 109
14 12 22
14 11 67
14 10 21
14 9 24
14 8 25
14 7 45
14 6 42
14 5 18
14 4 53
14 3 20
14 2 8
14 1 8
14 0 29
15 29 7
15 28 5
15 27 4
15 26 14
15 25 15
15 24 8
15 23 11
15 22 64
15 21 46
15 20 38
15 19 28
15 18 16
15 17 33
15 16 11
15 15 18
15 14 17
15 13 8
15 12 101
15 11 25
15 10 30
15 9 24
15 8 26
15 7 56
15 6 35
15 5 20
15 4 35
15 3 11
15 2 8
15 1 7
15 0 28
16 29 8
16 28 6
16 27 5
16 26 24
16 25 5
16 24 37
16 23 9
16 22 13
16 21 66
16 20 58
16 19 38
16 18 58
16 17 25
16 16 12
16 15 40
16 14 8
16 13 128
16 12 50
16 11 13
16 10 18
16 9 23
16 8 36
16 7 68
16 6 26
16 5 22
16 4 27
16 3 12
16 2 9
16 1 7
16 0 27
17 29 9
17 28 7
17 27 6
17 26 15
17 25 5
17 24 6
17 23 8
17 22 11
17 21 85
17 20 17
17 19 29
17 18 29
17 17 17
17 16 74
17 15 11
17 14 149
17 13 78
17 12 9
17 11 12
17 10 17
17 9 22
17 8 26
17 7 57
17 6 26
17 5 53
17 4 29
17 3 14
17 2 10
17 1 8
17 0 27
18 29 10
18 28 9
18 27 17
18 26 5
18 25 5
18 24 5
18 23 7
18 22 10
18 21 34
18 20 57
18 19 39
18 18 30
18 17 99
18 16 26
18 15 183
18 14 100
18 13 8
18 12 8
18 11 10
18 10 14
18 9 20
18 8 24
18 7 36
18 6 76
18 5 54
18 4 20
18 3 16
18 2 12
18 1 48
18 0 27
19 29 11
19 28 10
19 27 28
19 26 6
19 25 5
19 24 5
19 23 6
19 22 9
19 21 32
19 20 46
19 19 59
19 18 130
19 17 30
19 16 208
19 15 65
19 14 12
19 13 9
19 12 8
19 11 9
19 10 13
19 9 17
19 8 61
19 7 84
19 6 25
19 5 44
19 4 32
19 3 28
19 2 73
19 1 9
19 0 27
20 29 12
20 28 11
20 27 9
20 26 7
20 25 6
20 24 5
20 23 6
20 22 8
20 21 11
20 20 25
20 19 158
20 18 30
20 17 231
20 16 30
20 15 18
20 14 14
20 13 31
20 12 9
20 11 19
20 10 21
20 9 94
20 8 138
20 7 32
20 6 34
20 5 44
20 4 22
20 3 29
20 2 25
20 1 21
20 0 38
21 29 13
21 28 32
21 27 11
21 26 8
21 25 6
21 24 5
21 23 5
21 22 7
21 21 40
21 20 183
21 19 57
21 18 260
21 17 52
21 16 22
21 15 20
21 14 27
21 13 23
21 12 40
21 11 29
21 10 119
21 9 161
21 8 35
21 7 39
21 6 43
21 5 44
21 4 33
21 3 20
21 2 26
21 1 62
21 0 29
22 29 13
22 28 33
22 27 12
22 26 10
22 25 18
22 24 16
22 23 5
22 22 16
22 21 208
22 20 12
22 19 26
22 18 99
22 17 32
22 16 43
22 15 52
22 14 49
22 13 65
22 12 31
22 11 9
22 10 8
22 9 10
22 8 23
22 7 56
22 6 20
22 5 63
22 4 23
22 3 51
22 2 88
22 1 34
22 0 50
23 29 23
23 28 34
23 27 33
23 26 41
23 25 49
23 24 17
23 23 16
23 22 236
23 21 17
23 20 30
23 19 24
23 18 58
23 17 72
23 16 83
23 15 73
23 14 31
23 13 17
23 12 23
23 11 9
23 10 28
23 9 28
23 8 20
23 7 24
23 6 17
23 5 40
23 4 22
23 3 21
23 2 19
23 1 25
23 0 11
24 29 13
24 28 14
24 27 44
24 26 33
24 25 21
24 24 18
24 23 266
24 22 16
24 21 57
24 20 29
24 19 23
24 18 27
24 17 21
24 16 24
24 15 25
24 14 42
24 13 38
24 12 24
24 11 40
24 10 28
24 9 17
24 8 39
24 7 11
24 6 15
24 5 28
24 4 20
24 3 31
24 2 20
24 1 47
24 0 33
25 29 13
25 28 14
25 27 15
25 26 24
25 25 52
25 24 170
25 23 18
25 22 6
25 21 26
25 20 8
25 19 11
25 18 15
25 17 40
25 16 23
25 15 44
25 14 53
25 13 19
25 12 15
25 11 11
25 10 8
25 9 27
25 8 7
25 7 9
25 6 12
25 5 26
25 4 29
25 3 30
25 2 70
25 1 18
25 0 14
26 29 12
26 28 14
26 27 15
26 26 65
26 25 14
26 24 11
26 23 9
26 22 7
26 21 6
26 20 7
26 19 10
26 18 24
26 17 18
26 16 71
26 15 33
26 14 22
26 13 20
26 12 17
26 11 13
26 10 49
26 9 7
26 8 7
26 7 8
26 6 10
26 5 33
26 4 16
26 3 98
26 2 19
26 1 28
26 0 55
27 29 11
27 28 34
27 27 95
27 26 16
27 25 15
27 24 13
27 23 11
27 22 8
27 21 17
27 20 7
27 19 18
27 18 12
27 17 16
27 16 19
27 15 51
27 14 22
27 13 20
27 12 18
27 11 34
27 10 10
27 9 18
27 8 6
27 7 7
27 6 58
27 5 11
27 4 14
27 3 47
27 2 28
27 1 18
27 0 16
28 29 10
28 28 33
28 27 15
28 26 16
28 25 16
28 24 15
28 23 12
28 22 20
28 21 27
28 20 17
28 19 28
28 18 10
28 17 13
28 16 16
28 15 29
28 14 21
28 13 20
28 12 58
28 11 25
28 10 21
28 9 8
28 8 6
28 7 26
28 6 17
28 5 19
28 4 72
28 3 35
28 2 27
28 1 17
28 0 16
29 29 59
29 28 12
29 27 15
29 26 17
29 25 17
29 24 16
29 23 14
29 22 11
29 21 9
29 20 7
29 19 7
29 18 8
29 17 11
29 16 14
29 15 17
29 14 29
29 13 70
29 12 38
29 11 16
29 10 13
29 9 9
29 8 17
29 7 46
29 6 6
29 5 8
29 4 10
29 3 53
29 2 15
29 1 16
29 0 16 
